Date,Open,High,Low,Close,Adj Close,Volume
2023-08-31,33.509998,34.029999,33.290001,33.509998,33.315868,10168400
2023-09-01,33.590000,33.840000,33.259998,33.540001,33.345699,8803600
2023-09-05,33.360001,33.480000,33.029999,33.279999,33.087204,9169600
2023-09-06,33.049999,33.410000,32.529999,32.820000,32.629868,11731900
2023-09-07,32.410000,32.619999,32.020000,32.570000,32.381317,12291800
2023-09-08,32.599998,33.130001,32.540001,32.950001,32.759117,12121900
2023-09-11,33.080002,33.270000,32.500000,32.619999,32.431026,11777000
2023-09-12,32.759998,33.770000,32.759998,33.470001,33.276104,15578400
2023-09-13,33.939999,34.299999,33.430000,33.660000,33.465000,14287400
2023-09-14,33.599998,33.799999,33.029999,33.660000,33.465000,11797300
2023-09-15,33.540001,34.599998,33.419998,33.950001,33.753326,19627500
2023-09-18,33.750000,33.950001,33.310001,33.340000,33.146858,10471500
2023-09-19,33.450001,34.310001,33.349998,33.959999,33.763264,9546700
2023-09-20,34.080002,34.130001,33.160000,33.200001,33.007671,10807900
2023-09-21,32.910000,33.439999,32.689999,32.709999,32.520504,11338000
2023-09-22,33.000000,33.580002,32.500000,32.580002,32.391258,14272000
2023-09-25,32.380001,33.189999,32.270000,33.060001,32.868481,7283400
2023-09-26,32.610001,33.009998,32.209999,32.259998,32.073109,8250800
2023-09-27,32.410000,32.549999,31.969999,32.349998,32.162590,8339100
2023-09-28,32.290001,33.400002,32.070000,33.160000,32.967899,12673800
2023-09-29,33.310001,33.419998,32.759998,32.970001,32.778999,13585000
2023-10-02,32.840000,33.060001,32.160000,32.470001,32.281898,10966100
2023-10-03,32.049999,32.189999,31.309999,31.379999,31.198210,13060900
2023-10-04,31.350000,31.500000,30.629999,31.040001,30.860180,13412200
2023-10-05,30.780001,31.139999,29.719999,30.309999,30.134411,25255400
2023-10-06,30.100000,31.360001,29.870001,30.900000,30.720993,22412900
2023-10-09,30.490000,31.270000,30.330000,30.990000,30.810471,9112000
2023-10-10,30.889999,31.660000,30.709999,31.480000,31.297630,11985700
2023-10-11,31.730000,31.980000,30.780001,30.980000,30.800528,10673700
2023-10-12,30.690001,30.700001,30.030001,30.320000,30.144352,11355500
2023-10-13,30.000000,30.230000,29.540001,29.660000,29.488174,16710500
2023-10-16,29.910000,30.180000,29.650000,30.059999,29.885859,14711500
2023-10-17,29.799999,30.610001,29.780001,30.330000,30.154295,19812300
2023-10-18,29.840000,29.990000,29.459999,29.480000,29.309217,14318900
2023-10-19,29.100000,29.959999,29.059999,29.330000,29.160088,18053800
2023-10-20,29.879999,30.250000,29.450001,29.660000,29.488174,21633500
2023-10-23,29.330000,29.900000,29.209999,29.219999,29.050724,17917700
2023-10-24,28.389999,29.780001,28.010000,28.559999,28.394548,26058100
2023-10-25,28.549999,29.139999,27.709999,29.010000,28.841942,24400400
2023-10-26,29.809999,30.219999,28.430000,28.549999,28.384605,22788200
2023-10-27,28.490000,28.629999,27.120001,27.219999,27.062311,25825600
2023-10-30,27.549999,27.719999,26.790001,27.360001,27.201502,23227300
2023-10-31,27.500000,28.309999,27.340000,28.200001,28.036634,17507200
2023-11-01,28.730000,28.799999,27.730000,28.000000,27.837791,17364000
2023-11-02,28.440001,28.860001,28.160000,28.799999,28.633156,15531400
2023-11-03,29.379999,30.059999,29.330000,29.770000,29.597538,17415600
2023-11-06,29.770000,29.820000,28.990000,29.110001,28.941360,12412100
2023-11-07,28.809999,28.950001,28.059999,28.410000,28.245417,18254100
2023-11-08,28.340000,28.360001,27.520000,27.559999,27.400341,18282600
2023-11-09,27.709999,27.709999,26.629999,26.650000,26.495613,16045900
2023-11-10,26.709999,27.000000,26.299999,26.850000,26.694454,16946700
2023-11-13,26.730000,27.110001,26.639999,26.900000,26.744164,16394300
2023-11-14,27.450001,28.420000,27.410000,28.200001,28.036634,24219700
2023-11-15,28.070000,28.230000,27.730000,28.139999,27.976980,19628900
2023-11-16,27.930000,28.190001,27.420000,27.480000,27.320803,16692000
2023-11-17,27.860001,28.030001,27.530001,28.030001,27.867619,19919800
2023-11-20,28.180000,28.770000,28.139999,28.520000,28.354778,19348500
2023-11-21,28.250000,28.570000,27.700001,27.900000,27.738371,19693500
2023-11-22,28.059999,28.350000,27.840000,28.100000,27.937214,11338100
2023-11-24,28.170000,28.500000,28.120001,28.180000,28.016748,6941400
2023-11-27,28.020000,28.520000,27.940001,28.500000,28.334894,19878800
2023-11-28,28.440001,29.000000,28.330000,28.889999,28.722635,18156700
2023-11-29,31.870001,32.290001,31.420000,31.600000,31.416937,85193700
2023-11-30,31.750000,32.270000,31.580000,31.600000,31.506670,45236500
2023-12-01,31.520000,32.590000,31.520000,32.360001,32.264427,31642900
2023-12-04,32.669998,33.439999,32.599998,33.070000,32.972328,29590100
2023-12-05,32.959999,33.430000,32.660000,32.680000,32.583481,25717600
2023-12-06,33.049999,33.669998,32.869999,32.910000,32.812801,21736200
2023-12-07,32.980000,33.619999,32.810001,33.509998,33.411026,20158800
2023-12-08,33.509998,34.320000,33.509998,33.750000,33.650322,20272100
2023-12-11,33.500000,34.020000,33.439999,33.580002,33.480824,23314400
2023-12-12,33.500000,33.910000,33.360001,33.419998,33.321293,22492100
2023-12-13,33.299999,34.060001,32.830002,33.990002,33.889614,28807100
2023-12-14,34.619999,36.320000,34.549999,36.250000,36.142937,35593100
2023-12-15,36.299999,36.490002,35.619999,35.730000,35.624474,34153800
2023-12-18,35.779999,36.160000,35.430000,35.439999,35.335327,18151800
2023-12-19,35.509998,35.990002,35.369999,35.869999,35.764057,11875400
2023-12-20,35.730000,36.400002,35.459999,35.470001,35.365242,16585400
2023-12-21,35.830002,36.320000,35.689999,36.250000,36.142937,18421900
2023-12-22,36.110001,36.619999,35.840000,36.020000,35.913616,15020900
2023-12-26,36.020000,36.419998,36.020000,36.130001,36.023293,10733900
2023-12-27,36.099998,36.259998,35.700001,36.080002,35.973442,11128500
2023-12-28,36.000000,36.240002,35.910000,36.200001,36.093086,9719400
2023-12-29,36.130001,36.459999,35.860001,35.919998,35.813911,14124700
2024-01-02,35.639999,36.630001,35.439999,36.049999,35.943527,17501300
2024-01-03,35.509998,35.619999,34.700001,35.270000,35.165833,20308800
2024-01-04,35.660000,35.980000,35.279999,35.490002,35.385181,20138000
2024-01-05,35.509998,36.610001,35.439999,35.990002,35.883705,14996100
2024-01-08,35.830002,36.849998,35.820000,36.700001,36.591610,13774800
2024-01-09,36.349998,36.730000,36.189999,36.540001,36.432079,13892800
2024-01-10,36.570000,36.619999,35.990002,36.310001,36.202763,16042600
